# Time-averaged data for fix av
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0 0
38 0.9375 0.0339955 0.0025
39 0.9625 0.463576 0.0375
40 0.9875 0.774582 0.0975
41 1.0125 1.03875 0.18
42 1.0375 1.99673 0.3425
43 1.0625 2.2797 0.5325
44 1.0875 2.37383 0.735
45 1.1125 2.0913 0.9175
46 1.1375 2.21345 1.115
47 1.1625 2.33034 1.3275
48 1.1875 2.03973 1.5175
49 1.2125 1.81368 1.69
50 1.2375 2.03458 1.8875
51 1.2625 1.59039 2.045
52 1.2875 1.58426 2.205
53 1.3125 0.971301 2.305
54 1.3375 1.64418 2.4775
55 1.3625 1.02922 2.5875
56 1.3875 0.872859 2.6825
57 1.4125 1.08304 2.8025
58 1.4375 1.17506 2.935
59 1.4625 1.00243 3.05
60 1.4875 1.00701 3.1675
61 1.5125 0.77965 3.26
62 1.5375 0.787702 3.355
63 1.5625 0.836291 3.4575
64 1.5875 0.782968 3.555
65 1.6125 1.00801 3.6825
66 1.6375 0.836913 3.79
67 1.6625 0.766817 3.89
68 1.6875 0.755457 3.99
